year,acc,auc,brier
2020,0.5019762845849802,0.477061337355455,0.27836272685176683
2021,0.5,0.4942703387147831,0.2677048062624511
2022,0.4701195219123506,0.5609771654547774,0.2565471336106844
2023,0.476,0.4713311688311688,0.26333603840294756
2024,0.5198412698412699,0.46619718309859154,0.26869940250828356
