year,n_train,n_test,acc,auc,brier,always_up
2020,3750,253,0.5652173913043478,0.5450603318250377,0.24685113834821304,0.5375494071146245
2021,4003,252,0.5238095238095238,0.5519468186134853,0.2476090337366682,0.5357142857142857
2022,4255,251,0.4820717131474104,0.4546498277841562,0.2556778269462799,0.46613545816733065
2023,4506,250,0.548,0.4398051948051948,0.2510419509969055,0.56
2024,4756,252,0.5436507936507936,0.5586427656850192,0.24442114866985326,0.5634920634920635
